gis_x;gis_y;distrito;barrio;calle;num_finca;color;bateria_linea;num_plazas
439592,91;4473566,23;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;2;077214010 Verde;L?nea;7
439569,07;4473598,77;01  CENTRO;01-01 PALACIO;AGUAS, CALLE, DE LAS;8;077214010 Verde;L?nea;5
439578,18;4473498,76;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;3;077214010 Verde;L?nea;1
439574,49;4473493,4;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;5;077214010 Verde;L?nea;1
439559,19;4473471,82;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;12;077214010 Verde;L?nea;9
439536,49;4473428,32;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;17;077214010 Verde;L?nea;4
439525,36;4473404,28;01  CENTRO;01-01 PALACIO;AGUILA, CALLE, DEL;21;077214010 Verde;L?nea;4
439587,76;4473916,82;01  CENTRO;01-01 PALACIO;ALAMILLO, CALLE, DEL;1;077214010 Verde;L?nea;3
439600,51;4473917,47;01  CENTRO;01-01 PALACIO;ALAMILLO, CALLE, DEL;2;077214010 Verde;L?nea;2
439097,77;4473640,65;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;1;077214010 Verde;L?nea;4
439090,09;4473635,79;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;2;077214010 Verde;L?nea;1
439128,74;4473643,71;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;5;077214010 Verde;L?nea;6
439129,02;4473639,93;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;6;077214010 Verde;L?nea;13
439154,57;4473646,35;01  CENTRO;01-01 PALACIO;ALGECIRAS, CALLE, DE;7;077214010 Verde;Bater?a;7
439849,67;4473828,18;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;4;077214010 Verde;L?nea;3
439773,76;4473804,41;01  CENTRO;01-01 PALACIO;ALMENDRO, CALLE, DEL;12;077214010 Verde;L?nea;4
439748,29;4474317,87;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;2;077214010 Verde;L?nea;4
439710,65;4474308,34;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;5;077214010 Azul;L?nea;3
439678,11;4474300,89;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;7;077214010 Azul;L?nea;2
439666,95;4474298,01;01  CENTRO;01-01 PALACIO;AMNISTIA, CALLE, DE LA;9;077214010 Azul;L?nea;2
